line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
Slightly obsessed with, Shallow by Lady Gaga,and Bradley Cooper,twaiku,6,7,5,Slightly obsessed with  Shallow by Lady Gaga and Bradley Cooper
christmas concert??,mary keeps the beat,on the baby jesus,sballas,4,5,6,christmas concert?? mary keeps the beat on the baby jesus
Is taking yourself, on a vacation normal,asking for a friend,twaiku,5,7,5,Is taking yourself  on a vacation normal asking for a friend
Angry yelling is, what we'll get dick sucking lips,is what we deserve,twaiku,5,7,6,Angry yelling is  what we'll get dick sucking lips is what we deserve
Now they are talking, about penis envy What,have I walked into,twaiku,6,7,7,Now they are talking  about penis envy What have I walked into
My momma called me, for an hour I ain't been,home in a minute,twaiku,6,6,7,My momma called me  for an hour I ain't been home in a minute
Y'all blaming Wenger, when all those so called big name,can't fight for the shirt,twaiku,6,10,5,Y'all blaming Wenger  when all those so called big name can't fight for the shirt
Can my laptop not, turn itself on when I put,it on sleep mode thanks,twaiku,5,7,6,Can my laptop not  turn itself on when I put it on sleep mode thanks
"Crunch, crunch, crunch",stepping on fallen acorns,this Autumn day ,tempslibre,3,7,4,"Crunch, crunch, crunch stepping on fallen acorns this Autumn day "
now we're back,revisiting,the th century,img2poems,4,4,4,now we're back revisiting the th century
My family is, coming to visit What are,your plans Sophia,twaiku,5,8,4,My family is  coming to visit What are your plans Sophia
I found a lady, bug on my computer chair,This must be good luck,twaiku,5,7,5,I found a lady  bug on my computer chair This must be good luck
I HAVE SO MANY, FAVOURITE SONGS I LISTEN,TO TOO MANY GROUPS,twaiku,6,8,5,I HAVE SO MANY  FAVOURITE SONGS I LISTEN TO TOO MANY GROUPS
If u really know, me then u know what completes,my entire look,twaiku,5,8,5,If u really know  me then u know what completes my entire look
No Fucking with the, ecosystem is never,a good idea,twaiku,5,7,4,No Fucking with the  ecosystem is never a good idea
talking about clear, backpacks and detectors feel,like prison girl boo,twaiku,5,7,6,talking about clear  backpacks and detectors feel like prison girl boo
await await for scanderbeg,returning as a hued dove,to liberate our motherland,img2poems,8,8,9,await await for scanderbeg returning as a hued dove to liberate our motherland
ah i don't really, give a shit fuck em am i,right or am i right,twaiku,5,8,5,ah i don't really  give a shit fuck em am i right or am i right
songbirds in the dark,the sound of my sister's voice,when she lies,sballas,5,8,3,songbirds in the dark the sound of my sister's voice when she lies
I hate having bad, mornings it kills my vibe for,the rest of the day,twaiku,6,8,5,I hate having bad  mornings it kills my vibe for the rest of the day
are you okay do, i look okay no then don't,ask stupid questions,twaiku,6,7,5,are you okay do  i look okay no then don't ask stupid questions
One session start of, sleeve Come and start yours at Jacks,Tattoo Studio,twaiku,6,9,4,One session start of  sleeve Come and start yours at Jacks Tattoo Studio
spring breeze,blowing dandelions,in circles,tempslibre,3,5,3,spring breeze blowing dandelions in circles
can't be doing that, with Trump still in office That,siren has to go,twaiku,4,8,5,can't be doing that  with Trump still in office That siren has to go
one of the hardest, things to do especially when,they have everything,twaiku,6,8,7,one of the hardest  things to do especially when they have everything
stran,as many attributes but as i wear,a human shape will take a human name,img2poems,1,11,13,stran as many attributes but as i wear a human shape will take a human name
Adidas needs to, stop handing out shoe deals to,rappers with one song,twaiku,5,7,6,Adidas needs to  stop handing out shoe deals to rappers with one song
Brilliant strategy, Shameless though the state may be,They're clever people,twaiku,5,9,6,Brilliant strategy  Shameless though the state may be They're clever people
Apparently my, inner sexiness came out,at practice today,twaiku,5,8,6,Apparently my  inner sexiness came out at practice today
waiting room,someone whispers,?be morning soon?,sballas,3,5,4,waiting room someone whispers ?be morning soon?
I would never tell, my ex bitch I love her just,to get some pussy,twaiku,5,8,6,I would never tell  my ex bitch I love her just to get some pussy
summer heat,harvesters,gathering dust,herons_nest,3,3,4,summer heat harvesters gathering dust
bush trail,the astonishing colour,of jellybeans,sballas,2,7,4,bush trail the astonishing colour of jellybeans
Been raining all damn, day y'all getting nothing but,tricks this Halloween,twaiku,5,8,5,Been raining all damn  day y'all getting nothing but tricks this Halloween
long married,in the kitchen a spice bottle,never opened,herons_nest,3,9,5,long married in the kitchen a spice bottle never opened
Why does everything, in the world take forever,except for weekends,twaiku,6,8,5,Why does everything  in the world take forever except for weekends
What'll you do Will, you give up right on the spot,like you always have,twaiku,4,8,7,What'll you do Will  you give up right on the spot like you always have
I'm so awkward that, when I went in for a kiss,I kissed her chin dude,twaiku,5,7,7,I'm so awkward that  when I went in for a kiss I kissed her chin dude
how swiftly love,may grief remove,how happy make disaster,img2poems,5,5,8,how swiftly love may grief remove how happy make disaster
honestly getting, e coli during exams,would be a blessing,twaiku,5,7,5,honestly getting  e coli during exams would be a blessing
this is beginning, to feel like the dawn of a,loser forever,twaiku,5,8,5,this is beginning  to feel like the dawn of a loser forever
i hate being in, love w someone who,doesn't love me back,twaiku,5,6,5,i hate being in  love w someone who doesn't love me back
anybody want, to go car shopping and then,to the mall with me,twaiku,5,7,5,anybody want  to go car shopping and then to the mall with me
I kinda wanna, ride to the beach but ill wait,on my cali trip,twaiku,5,8,5,I kinda wanna  ride to the beach but ill wait on my cali trip
Griffin surprised me, with tickets to Paris Oui,oui baguette bitches,twaiku,6,7,7,Griffin surprised me  with tickets to Paris Oui oui baguette bitches
Chilly ain't even, the word lol I need to be,on a beach right now,twaiku,5,7,5,Chilly ain't even  the word lol I need to be on a beach right now
I'm gonna go to, bed thinking about this year's,goal my Neptune girl,twaiku,5,7,6,I'm gonna go to  bed thinking about this year's goal my Neptune girl
I haven't written, in so long I need to force,myself to make time,twaiku,5,8,7,I haven't written  in so long I need to force myself to make time
Have you already, watched it If not than make sure,to watch on YouTube,twaiku,6,10,6,Have you already  watched it If not than make sure to watch on YouTube
Now more than ever, I'm so grateful for the friends,i have in my life,twaiku,6,8,7,Now more than ever  I'm so grateful for the friends i have in my life
windows on the world,past lives decayed in the past,locked still in the stones,img2poems,5,8,7,windows on the world past lives decayed in the past locked still in the stones
among mourners,this cloak of silence,between crows,tempslibre,4,6,3,among mourners this cloak of silence between crows
If I bragged about, the shit you brag about my,boys a laugh at me,twaiku,6,7,5,If I bragged about  the shit you brag about my boys a laugh at me
So excited to, be getting out of here for,a few days today,twaiku,5,8,5,So excited to  be getting out of here for a few days today
I haven't been home, since Friday I gotta get,my lazy butt up,twaiku,6,8,5,I haven't been home  since Friday I gotta get my lazy butt up
Clean With Passion For, Now hasn't started and I,already hate it,twaiku,5,6,6,Clean With Passion For  Now hasn't started and I already hate it
The only way to, survive the most hostile times,is to keep moving,twaiku,5,10,5,The only way to  survive the most hostile times is to keep moving
Everyone complains, I work so much until I,pay for there shit Hm,twaiku,6,7,5,Everyone complains  I work so much until I pay for there shit Hm
pensioners walk,the slow drip of rain,from the thatch,tempslibre,4,5,3,pensioners walk the slow drip of rain from the thatch
i'm so sweet on him,bright red flash on dormant grass,i call him my crush,img2poems,5,7,5,i'm so sweet on him bright red flash on dormant grass i call him my crush
But do we really, NEED more white boys to play that,funky music though,twaiku,5,9,5,But do we really  NEED more white boys to play that funky music though
Do we need any, more evidence that they are,deplorable Sad,twaiku,5,10,5,Do we need any  more evidence that they are deplorable Sad
cold moon . . .,a rising wave splashes,the taste of salt,sballas,2,7,5,cold moon . . . a rising wave splashes the taste of salt
Who left chocolates on, my desk I really want to,eat them but I won't,twaiku,7,7,5,Who left chocolates on  my desk I really want to eat them but I won't
bedtime??,fruit flies linger,after the fruit,sballas,3,4,4,bedtime?? fruit flies linger after the fruit
Don't be with someone, if you're just going to think,about someone else,twaiku,6,7,7,Don't be with someone  if you're just going to think about someone else
Anyone I know, going to this Just got to,check my diary,twaiku,5,6,4,Anyone I know  going to this Just got to check my diary
my happiness comes, from the beach i do nothing,but smile when i'm there,twaiku,6,7,7,my happiness comes  from the beach i do nothing but smile when i'm there
me after getting, bullied for trying to go,viral once a week,twaiku,5,6,6,me after getting  bullied for trying to go viral once a week
Pardon my absence, I had a few hours of,out at the pub lol,twaiku,6,6,5,Pardon my absence  I had a few hours of out at the pub lol
evening voices,the moon,so huge,tempslibre,5,2,3,evening voices the moon so huge
I guarantee you, the streets of Vegas will be,chaotic tonight,twaiku,5,7,4,I guarantee you  the streets of Vegas will be chaotic tonight
Queen exactly but, we treat technology is,inherently good,twaiku,5,7,5,Queen exactly but  we treat technology is inherently good
We literally, stayed at the lake for two days,straight this weekend lol,twaiku,5,8,5,We literally  stayed at the lake for two days straight this weekend lol
If it's not enough, then I'm sorry but just know,that I tried my best,twaiku,5,7,5,If it's not enough  then I'm sorry but just know that I tried my best
I'm determined to, get the abs back that,i had in high school,twaiku,6,5,5,I'm determined to  get the abs back that i had in high school
